============> Tokens from the file ./examples/example1.ccc


Token: <key=not in symbol table  type=DEF, lexem='def', line=1, startIndex=0, stopIndex=2>
Token: <key=not in symbol table  type=DEF, lexem='def', line=9, startIndex=86, stopIndex=88>

Token: <key=not in symbol table  type=IDENT, lexem='principal', line=9, startIndex=90, stopIndex=98>

Token: <key=not in symbol table  type=LPAREN, lexem='(', line=9, startIndex=99, stopIndex=99>

Token: <key=not in symbol table  type=RPAREN, lexem=')', line=9, startIndex=100, stopIndex=100>

Token: <key=not in symbol table  type=LBRACE, lexem='{', line=10, startIndex=102, stopIndex=102>

Token: <key=not in symbol table  type=TYPE_INT, lexem='int', line=11, startIndex=106, stopIndex=108>

Token: <key=principal_C type=IDENT, lexem='C', line=11, startIndex=110, stopIndex=110>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=11, startIndex=111, stopIndex=111>

Token: <key=not in symbol table  type=TYPE_INT, lexem='int', line=12, startIndex=115, stopIndex=117>

Token: <key=principal_D type=IDENT, lexem='D', line=12, startIndex=119, stopIndex=119>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=12, startIndex=120, stopIndex=120>

Token: <key=not in symbol table  type=TYPE_INT, lexem='int', line=13, startIndex=124, stopIndex=126>

Token: <key=principal_R type=IDENT, lexem='R', line=13, startIndex=128, stopIndex=128>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=13, startIndex=129, stopIndex=129>

Token: <key=principal_C type=IDENT, lexem='C', line=14, startIndex=133, stopIndex=133>

Token: <key=not in symbol table  type=ASSIGN, lexem='=', line=14, startIndex=135, stopIndex=135>

Token: <key=not in symbol table  type=INT, lexem='4', line=14, startIndex=137, stopIndex=137>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=14, startIndex=138, stopIndex=138>

Token: <key=principal_D type=IDENT, lexem='D', line=15, startIndex=142, stopIndex=142>

Token: <key=not in symbol table  type=ASSIGN, lexem='=', line=15, startIndex=144, stopIndex=144>

Token: <key=not in symbol table  type=INT, lexem='5', line=15, startIndex=146, stopIndex=146>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=15, startIndex=147, stopIndex=147>

Token: <key=not in symbol table  type=RETURN, lexem='return', line=16, startIndex=151, stopIndex=156>

Token: <key=not in symbol table  type=SEMI, lexem=';', line=16, startIndex=157, stopIndex=157>

Token: <key=not in symbol table  type=RBRACE, lexem='}', line=17, startIndex=159, stopIndex=159>

Token: <key=not in symbol table  type=EOF, lexem='<EOF>', line=17, startIndex=160, stopIndex=159>
